# anti- candidates (3532 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

antidigoxigenin                     -> digoxigenin
antidilution                        -> dilution
antidin                             -> din
antidinic                           -> dinic
antidiphtheria                      -> diphtheria
antidiphtheritic                    -> diphtheritic
antidiquark                         -> diquark
antidirected                        -> directed
antidisability                      -> disability
antidisabled                        -> disabled
antidisciplinarian                  -> disciplinarian
antidisciplinary                    -> disciplinary
antidiscipline                      -> discipline
antidisco                           -> disco
antidiscount                        -> discount
antidiscounting                     -> discounting
antidiscrimination                  -> discrimination
antidiscriminative                  -> discriminative
antidiscriminatory                  -> discriminatory
antidiscursive                      -> discursive
antidisease                         -> disease
antidisestablishment                -> disestablishment
antidisestablishmentarian           -> disestablishmentarian
antidisestablishmentarianism        -> disestablishmentarianism
antidismissal                       -> dismissal
antidispersion                      -> dispersion
antidissection                      -> dissection
antidissident                       -> dissident
antidissolution                     -> dissolution
antidistribution                    -> distribution
antidisturbance                     -> disturbance
antidiuresis                        -> diuresis
antidiuretic                        -> diuretic
antidiverse                         -> diverse
antidiversification                 -> diversification
antidiversity                       -> diversity
antidivine                          -> divine
antidivision                        -> division
antidivorce                         -> divorce
antidoctor                          -> doctor
antidocumentary                     -> documentary
antidog                             -> dog
antidogma                           -> dogma
antidogmatic                        -> dogmatic
antidogmatism                       -> dogmatism
antidogmatist                       -> dogmatist
antidollar                          -> dollar
antidomain                          -> domain
antidomestic                        -> domestic
antidominance                       -> dominance
antidominant                        -> dominant
antidonkey                          -> donkey
antidopaminergic                    -> dopaminergic
antidope                            -> dope
antidoping                          -> doping
antidormancy                        -> dormancy
antidormant                         -> dormant
antidot                             -> dot
antidotal                           -> dotal
antidotary                          -> dotary
antidote                            -> dote
antidown                            -> down
antidowry                           -> dowry
antidraft                           -> draft
antidrag                            -> drag
antidrama                           -> drama
antidramatic                        -> dramatic
antidrill                           -> drill
antidrilling                        -> drilling
antidrink                           -> drink
antidrinker                         -> drinker
antidrinking                        -> drinking
antidromic                          -> dromic
antidrone                           -> drone
antidrop                            -> drop
antidropsical                       -> dropsical
antidrought                         -> drought
antidrug                            -> drug
antidualism                         -> dualism
antidualist                         -> dualist
antidualistic                       -> dualistic
